,Platform,Genre,Publisher,Rating,Year_of_Release,Critic_Score,BINARY_Hits
408,X360,Action,Ubisoft,M,2013.0,86.0,1.0
409,PS2,Action,Electronic Arts,T,2003.0,85.0,1.0
411,XOne,Shooter,Over 50 Under 150 Publisher,M,2015.0,82.0,1.0
412,PS2,Action,Activision,M,2003.0,77.0,1.0
413,DS,Puzzle,Nintendo,E10+,2008.0,86.0,1.0
415,XOne,Sports,Electronic Arts,E,2015.0,84.0,1.0
416,Wii,Misc,Nintendo,E,2008.0,63.0,1.0
418,PS4,Sports,Electronic Arts,E,2015.0,83.0,1.0
419,PS3,Racing,Sony Computer Entertainment,E,2013.0,81.0,1.0
420,XOne,Shooter,Over 50 Under 150 Publisher,M,2014.0,85.0,1.0
422,WiiU,Platform,Nintendo,E,2015.0,88.0,1.0
427,PSP,Action,Sony Computer Entertainment,M,2008.0,91.0,1.0
428,PS2,Action,Atari,T,2003.0,62.0,1.0
429,PSP,Role-Playing,Over 50 Under 150 Publisher,T,2007.0,83.0,1.0
430,X360,Misc,Under 50 Games Publisher,T,2010.0,82.0,1.0
431,PS3,Adventure,Take-Two Interactive,M,2011.0,89.0,1.0
432,PS2,Simulation,Under 50 Games Publisher,E,2001.0,89.0,1.0
433,GC,Simulation,Nintendo,E,2001.0,87.0,1.0
434,PS2,Sports,Electronic Arts,E,2007.0,83.0,1.0
436,PS,Action,Activision,E,2000.0,87.0,1.0
437,Wii,Misc,Nintendo,E,2012.0,73.0,1.0
438,PS,Racing,Electronic Arts,E,1998.0,88.0,1.0
440,DS,Platform,Sega,E,2005.0,82.0,1.0
442,DS,Misc,Nintendo,E,2008.0,83.0,1.0
443,PS3,Role-Playing,Over 50 Under 150 Publisher,M,2010.0,82.0,1.0
444,DS,Misc,Nintendo,E,2006.0,81.0,1.0
445,PS3,Role-Playing,Ubisoft,M,2007.0,93.0,1.0
446,3DS,Action,Nintendo,E,2013.0,91.0,1.0
447,PS3,Shooter,Capcom,M,2012.0,74.0,1.0
448,X360,Role-Playing,Electronic Arts,M,2010.0,96.0,1.0
449,PS2,Fighting,Atari,T,2002.0,67.0,1.0
450,PS2,Sports,Electronic Arts,E,2001.0,94.0,1.0
453,PC,Simulation,Electronic Arts,T,2002.0,75.0,1.0
454,3DS,Simulation,Nintendo,E,2015.0,66.0,1.0
455,PC,Simulation,Electronic Arts,T,2014.0,70.0,1.0
456,X360,Shooter,Take-Two Interactive,M,2012.0,89.0,1.0
457,DS,Action,Over 50 Under 150 Publisher,E10+,2008.0,72.0,1.0
458,X360,Action,Activision,E10+,2008.0,75.0,1.0
459,X360,Role-Playing,Electronic Arts,M,2012.0,93.0,1.0
460,PS3,Adventure,Sony Computer Entertainment,M,2010.0,87.0,1.0
462,X360,Action,THQ,M,2008.0,81.0,1.0
463,XB,Action,Ubisoft,T,2002.0,93.0,1.0
466,PS4,Sports,Electronic Arts,E,2013.0,87.0,1.0
467,PS3,Shooter,Sony Computer Entertainment,M,2009.0,91.0,1.0
468,X360,Shooter,Ubisoft,M,2012.0,91.0,1.0
469,Wii,Platform,Over 50 Under 150 Publisher,E,2010.0,73.0,1.0
470,X360,Sports,Take-Two Interactive,E,2012.0,88.0,1.0
471,PS2,Fighting,Atari,T,2007.0,73.0,1.0
473,PC,Misc,Electronic Arts,T,2000.0,82.0,1.0
474,PS2,Sports,Konami Digital Entertainment,E,2002.0,93.0,1.0
475,PS2,Action,Capcom,M,2001.0,94.0,1.0
476,PC,Role-Playing,Electronic Arts,T,2011.0,85.0,1.0
477,PS4,Action,Over 50 Under 150 Publisher,M,2014.0,84.0,1.0
478,PS2,Platform,Sega,E,2003.0,64.0,1.0
479,PS2,Action,Over 50 Under 150 Publisher,M,2002.0,85.0,1.0
480,XOne,Shooter,Electronic Arts,M,2014.0,86.0,1.0
481,PS3,Shooter,Electronic Arts,M,2010.0,88.0,1.0
483,PS2,Shooter,Sony Computer Entertainment,M,2003.0,87.0,1.0
485,GBA,Puzzle,Atari,E,2001.0,79.0,1.0
486,X360,Fighting,Capcom,T,2009.0,93.0,1.0
487,PS3,Action,Sony Computer Entertainment,T,2009.0,85.0,1.0
488,DS,Platform,Nintendo,E,2008.0,76.0,1.0
489,XOne,Shooter,Activision,M,2013.0,78.0,1.0
492,X360,Role-Playing,Over 50 Under 150 Publisher,M,2007.0,91.0,1.0
493,PS2,Misc,Sega,E,2004.0,73.0,1.0
494,PS2,Sports,Konami Digital Entertainment,E,2003.0,93.0,1.0
495,X360,Sports,Sega,E10+,2008.0,67.0,1.0
496,PS2,Sports,Sony Computer Entertainment,E,2001.0,85.0,1.0
497,Wii,Simulation,Over 50 Under 150 Publisher,E,2007.0,61.0,1.0
498,PS2,Shooter,Activision,T,2004.0,76.0,1.0
499,Wii,Puzzle,Nintendo,E10+,2006.0,83.0,1.0
503,X360,Sports,Electronic Arts,E,2012.0,81.0,1.0
504,XB,Role-Playing,Ubisoft,T,2002.0,87.0,1.0
505,PS4,Action,Ubisoft,M,2013.0,83.0,1.0
509,PS3,Fighting,Over 50 Under 150 Publisher,M,2011.0,84.0,1.0
510,X360,Sports,Electronic Arts,E,2009.0,85.0,1.0
512,X360,Shooter,Take-Two Interactive,M,2007.0,96.0,1.0
513,GC,Shooter,Nintendo,T,2002.0,97.0,1.0
514,PS3,Action,Ubisoft,M,2010.0,90.0,1.0
518,PS3,Shooter,Electronic Arts,M,2010.0,75.0,1.0
525,PS4,Action,Sony Computer Entertainment,T,2014.0,80.0,1.0
529,PS2,Sports,Electronic Arts,E,2001.0,89.0,1.0
530,PS2,Platform,Sony Computer Entertainment,T,2003.0,87.0,1.0
532,PS3,Racing,Electronic Arts,E10+,2010.0,89.0,1.0
533,Wii,Action,Activision,E10+,2011.0,81.0,1.0
534,PC,Shooter,Electronic Arts,M,2011.0,89.0,1.0
535,PS4,Fighting,Over 50 Under 150 Publisher,M,2015.0,83.0,1.0
536,PS2,Simulation,Electronic Arts,T,2003.0,83.0,1.0
537,PS3,Shooter,Sony Computer Entertainment,M,2011.0,84.0,1.0
538,X360,Action,Over 50 Under 150 Publisher,T,2008.0,73.0,1.0
540,DS,Platform,Nintendo,E,2006.0,81.0,1.0
541,X360,Action,THQ,M,2011.0,84.0,1.0
544,PS3,Fighting,Namco Bandai Games,T,2009.0,79.0,1.0
547,Wii,Platform,Sega,E,2007.0,69.0,1.0
549,GBA,Action,Nintendo,E,2002.0,95.0,1.0
550,PS2,Action,Under 50 Games Publisher,M,2001.0,86.0,1.0
552,X360,Adventure,Take-Two Interactive,M,2011.0,89.0,1.0
553,X360,Shooter,Activision,T,2006.0,82.0,1.0
554,X360,Sports,Electronic Arts,E,2011.0,78.0,1.0
555,PS2,Action,Over 50 Under 150 Publisher,E10+,2006.0,84.0,1.0
556,PS4,Shooter,Sony Computer Entertainment,M,2013.0,73.0,1.0
557,X360,Sports,Electronic Arts,E,2010.0,84.0,1.0
558,PS2,Racing,Electronic Arts,T,2004.0,93.0,1.0
561,DS,Puzzle,Nintendo,E,2010.0,79.0,1.0
562,DS,Puzzle,Nintendo,E10+,2009.0,83.0,1.0
563,PS2,Shooter,Activision,T,2005.0,77.0,1.0
564,PS,Shooter,Electronic Arts,T,1998.0,92.0,1.0
565,XB,Role-Playing,Over 50 Under 150 Publisher,M,2004.0,85.0,1.0
566,X360,Misc,Activision,T,2008.0,85.0,1.0
567,XOne,Sports,Electronic Arts,E,2016.0,84.0,1.0
569,PS2,Action,Ubisoft,T,2003.0,89.0,1.0
571,PS3,Racing,Electronic Arts,E,2009.0,84.0,1.0
573,PSP,Shooter,Electronic Arts,T,2006.0,71.0,1.0
574,PS3,Role-Playing,Over 50 Under 150 Publisher,T,2011.0,79.0,1.0
575,PS2,Racing,Take-Two Interactive,T,2000.0,78.0,1.0
576,X360,Sports,Electronic Arts,T,2010.0,80.0,1.0
577,PS2,Sports,Sega,E,2004.0,90.0,1.0
578,X360,Strategy,Over 50 Under 150 Publisher,T,2009.0,82.0,1.0
579,X360,Sports,Take-Two Interactive,E,2011.0,90.0,1.0
581,X360,Sports,Electronic Arts,E,2009.0,90.0,1.0
582,X360,Shooter,Electronic Arts,M,2010.0,74.0,1.0
583,PS2,Action,Electronic Arts,E,2002.0,71.0,1.0
585,PS3,Action,Sony Computer Entertainment,M,2009.0,91.0,1.0
586,PS2,Sports,Electronic Arts,E,2004.0,84.0,1.0
587,Wii,Sports,Nintendo,E10+,2007.0,79.0,1.0
588,PS3,Sports,Electronic Arts,E,2008.0,87.0,1.0
589,DS,Simulation,Nintendo,E,2008.0,73.0,1.0
