,Platform,Genre,Publisher,Rating,Year_of_Release,Critic_Score,BINARY_Hits
10609,PS2,Racing,Under 5 Games Publisher,E,2001.0,64.0,0.0
10610,WiiU,Platform,Under 5 Games Publisher,E,2015.0,88.0,0.0
10616,PSV,Role-Playing,Over 50 Under 150 Publisher,M,2014.0,66.0,0.0
10621,XB,Racing,THQ,E,2003.0,87.0,0.0
10629,Wii,Action,Over 50 Under 150 Publisher,T,2007.0,62.0,0.0
10630,PS2,Role-Playing,Over 50 Under 150 Publisher,T,2006.0,71.0,0.0
10632,GBA,Platform,Konami Digital Entertainment,T,2006.0,86.0,0.0
10634,PS4,Action,Over 50 Under 150 Publisher,T,2015.0,71.0,0.0
10636,DS,Action,Electronic Arts,E10+,2008.0,54.0,0.0
10637,XB,Simulation,Over 50 Under 150 Publisher,T,2002.0,83.0,0.0
10641,PSP,Action,Capcom,T,2006.0,74.0,0.0
10642,3DS,Fighting,Over 50 Under 150 Publisher,E10+,2011.0,58.0,0.0
10644,DS,Puzzle,Under 50 Games Publisher,E,2010.0,77.0,0.0
10645,Wii,Shooter,Over 50 Under 150 Publisher,E,2008.0,78.0,0.0
10648,DS,Strategy,Under 50 Games Publisher,T,2006.0,48.0,0.0
10650,PC,Strategy,Sega,T,2006.0,88.0,0.0
10652,X360,Shooter,Under 5 Games Publisher,M,2009.0,44.0,0.0
10653,XOne,Platform,Activision,E10+,2016.0,78.0,0.0
10654,XB,Action,Activision,T,2002.0,54.0,0.0
10655,PSP,Racing,Electronic Arts,E,2006.0,66.0,0.0
10657,PSV,Fighting,Namco Bandai Games,T,2016.0,62.0,0.0
10658,PS2,Racing,Electronic Arts,E,2002.0,78.0,0.0
10659,X360,Misc,THQ,E10+,2011.0,60.0,0.0
10663,XB,Simulation,Ubisoft,M,2005.0,61.0,0.0
10665,PS,Action,Sony Computer Entertainment,E,2000.0,61.0,0.0
10670,PS2,Action,THQ,E10+,2006.0,62.0,0.0
10671,PS3,Fighting,Capcom,T,2011.0,80.0,0.0
10672,X360,Shooter,Over 50 Under 150 Publisher,M,2011.0,43.0,0.0
10673,GC,Platform,Namco Bandai Games,E,2005.0,66.0,0.0
10676,GC,Fighting,Under 5 Games Publisher,T,2002.0,74.0,0.0
10677,DS,Strategy,Under 50 Games Publisher,E10+,2007.0,73.0,0.0
10679,3DS,Puzzle,Nintendo,E,2012.0,71.0,0.0
10680,XB,Racing,Over 50 Under 150 Publisher,T,2004.0,65.0,0.0
10681,XB,Sports,Over 50 Under 150 Publisher,E,2002.0,77.0,0.0
10684,XB,Action,Over 50 Under 150 Publisher,E,2005.0,60.0,0.0
10686,PS3,Adventure,Namco Bandai Games,E10+,2014.0,59.0,0.0
10687,PSP,Adventure,Under 50 Games Publisher,M,2009.0,79.0,0.0
10689,PS2,Racing,Over 50 Under 150 Publisher,E,2003.0,61.0,0.0
10690,PC,Strategy,Under 50 Games Publisher,M,2011.0,65.0,0.0
10691,Wii,Sports,Activision,E,2008.0,70.0,0.0
10692,X360,Sports,Over 50 Under 150 Publisher,E,2011.0,46.0,0.0
10697,X360,Action,Over 50 Under 150 Publisher,T,2007.0,63.0,0.0
10704,PC,Racing,Electronic Arts,E10+,2009.0,87.0,0.0
10707,PS2,Role-Playing,Under 5 Games Publisher,T,2001.0,64.0,0.0
10709,GBA,Action,THQ,T,2002.0,63.0,0.0
10710,DS,Strategy,Over 50 Under 150 Publisher,E10+,2008.0,60.0,0.0
10711,PSP,Role-Playing,Namco Bandai Games,T,2005.0,68.0,0.0
10714,X360,Shooter,Under 50 Games Publisher,T,2009.0,38.0,0.0
10715,PC,Strategy,Over 50 Under 150 Publisher,T,1999.0,92.0,0.0
10716,Wii,Misc,Under 50 Games Publisher,E10+,2008.0,42.0,0.0
10717,PS2,Role-Playing,Sega,T,2004.0,61.0,0.0
10719,XB,Racing,THQ,E,2002.0,84.0,0.0
10720,PS2,Platform,Take-Two Interactive,E,2004.0,70.0,0.0
10721,PC,Shooter,Over 50 Under 150 Publisher,M,2007.0,72.0,0.0
10723,PS2,Shooter,Konami Digital Entertainment,T,2004.0,82.0,0.0
10725,Wii,Shooter,Electronic Arts,T,2007.0,56.0,0.0
10728,XB,Sports,Over 50 Under 150 Publisher,E,2003.0,76.0,0.0
10730,PSP,Misc,Take-Two Interactive,E,2009.0,80.0,0.0
10734,DS,Strategy,Under 50 Games Publisher,E,2008.0,57.0,0.0
10735,X360,Role-Playing,Under 50 Games Publisher,T,2010.0,64.0,0.0
10739,PS2,Platform,Under 50 Games Publisher,T,2005.0,86.0,0.0
10740,Wii,Action,Under 50 Games Publisher,E10+,2007.0,58.0,0.0
10746,PS2,Sports,Konami Digital Entertainment,E,2000.0,62.0,0.0
10748,XB,Racing,Take-Two Interactive,E,2005.0,55.0,0.0
10749,GC,Racing,Electronic Arts,E,2002.0,78.0,0.0
10753,PS2,Fighting,Atari,T,2004.0,63.0,0.0
10756,PS4,Action,Activision,T,2016.0,44.0,0.0
10757,PS2,Sports,Atari,E,2003.0,58.0,0.0
10759,GC,Shooter,Under 5 Games Publisher,T,2004.0,78.0,0.0
10760,XB,Misc,Under 50 Games Publisher,T,2005.0,71.0,0.0
10761,Wii,Action,Over 50 Under 150 Publisher,T,2008.0,52.0,0.0
10763,DS,Puzzle,Under 50 Games Publisher,E,2005.0,46.0,0.0
10765,XB,Action,Over 50 Under 150 Publisher,M,2005.0,94.0,0.0
10768,DS,Adventure,Over 50 Under 150 Publisher,E10+,2006.0,60.0,0.0
10775,XB,Misc,Atari,T,2004.0,58.0,0.0
10776,PS3,Sports,Electronic Arts,E,2007.0,67.0,0.0
10777,DS,Role-Playing,Namco Bandai Games,E10+,2007.0,46.0,0.0
10779,GBA,Platform,Atari,E,2002.0,51.0,0.0
10780,PS2,Fighting,Konami Digital Entertainment,M,2003.0,59.0,0.0
10783,PSP,Misc,Atari,E,2007.0,64.0,0.0
10785,GC,Platform,Namco Bandai Games,T,2003.0,77.0,0.0
10789,DS,Platform,THQ,E,2005.0,66.0,0.0
10790,PSV,Adventure,Under 50 Games Publisher,M,2015.0,86.0,0.0
10794,PC,Simulation,Sega,E,2016.0,81.0,0.0
10796,PS2,Role-Playing,Sony Computer Entertainment,T,2003.0,73.0,0.0
10797,PSV,Action,Over 50 Under 150 Publisher,M,2011.0,57.0,0.0
10798,GBA,Puzzle,Over 50 Under 150 Publisher,E,2002.0,75.0,0.0
10800,XB,Action,Activision,E10+,2005.0,71.0,0.0
10802,DS,Fighting,Over 50 Under 150 Publisher,M,2007.0,73.0,0.0
10806,XB,Action,THQ,T,2002.0,56.0,0.0
10807,PS2,Shooter,Over 50 Under 150 Publisher,M,2005.0,71.0,0.0
10808,PS2,Action,Electronic Arts,E,2002.0,63.0,0.0
10811,PS,Shooter,Under 50 Games Publisher,T,2001.0,85.0,0.0
10813,PS2,Strategy,Over 50 Under 150 Publisher,T,2005.0,71.0,0.0
10815,PSP,Platform,Over 50 Under 150 Publisher,T,2008.0,72.0,0.0
10817,Wii,Action,Over 50 Under 150 Publisher,E10+,2011.0,46.0,0.0
10820,PSP,Racing,Ubisoft,E,2005.0,70.0,0.0
10821,DS,Misc,Atari,E,2007.0,32.0,0.0
10822,DS,Role-Playing,Under 5 Games Publisher,T,2009.0,45.0,0.0
10825,PS3,Sports,Take-Two Interactive,E10+,2007.0,74.0,0.0
10827,PSP,Action,Ubisoft,M,2007.0,44.0,0.0
10828,DC,Role-Playing,Sega,T,2000.0,93.0,0.0
10829,GC,Racing,Under 50 Games Publisher,E,2002.0,85.0,0.0
10831,PS2,Racing,Under 50 Games Publisher,E,2002.0,80.0,0.0
10834,X360,Racing,Konami Digital Entertainment,E10+,2011.0,65.0,0.0
10840,PSP,Puzzle,Sony Computer Entertainment,E,2008.0,79.0,0.0
10841,PS2,Action,Over 50 Under 150 Publisher,T,2001.0,71.0,0.0
10842,PSP,Role-Playing,Over 50 Under 150 Publisher,T,2006.0,68.0,0.0
10843,PS3,Fighting,Namco Bandai Games,E10+,2014.0,49.0,0.0
10845,3DS,Racing,Ubisoft,M,2011.0,48.0,0.0
10849,DS,Puzzle,Under 5 Games Publisher,E,2011.0,70.0,0.0
10850,PS3,Action,Over 50 Under 150 Publisher,M,2014.0,43.0,0.0
10851,X360,Action,Konami Digital Entertainment,M,2014.0,70.0,0.0
10852,PS2,Action,Sony Computer Entertainment,T,2003.0,69.0,0.0
10854,PSP,Adventure,Konami Digital Entertainment,T,2009.0,54.0,0.0
10856,PSP,Role-Playing,Under 50 Games Publisher,T,2009.0,45.0,0.0
10857,PSV,Misc,Ubisoft,E10+,2011.0,57.0,0.0
10859,PSP,Action,Electronic Arts,M,2006.0,79.0,0.0
10861,DS,Strategy,Ubisoft,T,2008.0,69.0,0.0
10865,X360,Simulation,Over 50 Under 150 Publisher,T,2011.0,45.0,0.0
10867,GBA,Action,THQ,E,2003.0,85.0,0.0
10868,PSP,Adventure,Over 50 Under 150 Publisher,T,2010.0,64.0,0.0
10871,PSP,Role-Playing,Over 50 Under 150 Publisher,T,2010.0,65.0,0.0
10872,DS,Role-Playing,Under 50 Games Publisher,T,2005.0,58.0,0.0
10879,DS,Strategy,THQ,E,2008.0,80.0,0.0
10880,PS2,Sports,Electronic Arts,E,2005.0,71.0,0.0
10887,3DS,Action,Nintendo,E10+,2015.0,58.0,0.0
10894,DS,Role-Playing,Under 50 Games Publisher,T,2008.0,46.0,0.0
10897,PS3,Role-Playing,Over 50 Under 150 Publisher,T,2010.0,44.0,0.0
10903,PS4,Racing,Sony Computer Entertainment,E,2016.0,67.0,0.0
10907,X360,Shooter,Over 50 Under 150 Publisher,M,2010.0,37.0,0.0
10913,PS3,Action,Konami Digital Entertainment,E10+,2009.0,69.0,0.0
10918,DS,Role-Playing,Over 50 Under 150 Publisher,E10+,2006.0,43.0,0.0
10920,PSP,Shooter,Over 50 Under 150 Publisher,E,2008.0,84.0,0.0
10922,GC,Action,Over 50 Under 150 Publisher,T,2002.0,67.0,0.0
10924,DS,Misc,Sega,T,2005.0,61.0,0.0
10925,XB,Misc,Over 50 Under 150 Publisher,T,2002.0,69.0,0.0
10928,X360,Strategy,Under 5 Games Publisher,T,2007.0,46.0,0.0
10929,PS4,Action,Over 50 Under 150 Publisher,T,2015.0,69.0,0.0
10933,PS2,Racing,Over 50 Under 150 Publisher,T,2003.0,67.0,0.0
10938,PS2,Role-Playing,Under 50 Games Publisher,T,2001.0,53.0,0.0
10940,PS3,Shooter,Over 50 Under 150 Publisher,M,2009.0,36.0,0.0
10944,X360,Sports,Under 50 Games Publisher,E10+,2010.0,36.0,0.0
10950,DS,Puzzle,Under 50 Games Publisher,E,2008.0,71.0,0.0
10954,X360,Strategy,Over 50 Under 150 Publisher,E10+,2008.0,56.0,0.0
10956,XB,Sports,Atari,T,2002.0,74.0,0.0
10957,GC,Sports,Over 50 Under 150 Publisher,E,2002.0,77.0,0.0
10958,XB,Sports,Konami Digital Entertainment,E,2004.0,90.0,0.0
10959,XB,Shooter,Ubisoft,M,2005.0,77.0,0.0
10960,3DS,Puzzle,Under 5 Games Publisher,E,2011.0,67.0,0.0
10961,XB,Racing,Atari,T,2004.0,72.0,0.0
10962,PS3,Fighting,Under 50 Games Publisher,T,2011.0,73.0,0.0
10963,XB,Action,Over 50 Under 150 Publisher,T,2002.0,78.0,0.0
10964,DS,Sports,Electronic Arts,E,2008.0,56.0,0.0
10966,DS,Misc,Under 50 Games Publisher,E,2008.0,48.0,0.0
10967,PS,Misc,Activision,E,2001.0,63.0,0.0
10970,PSP,Action,Capcom,T,2006.0,63.0,0.0
10971,PC,Action,Over 50 Under 150 Publisher,M,2015.0,76.0,0.0
10972,X360,Racing,Over 50 Under 150 Publisher,E,2014.0,75.0,0.0
10974,DS,Action,Over 50 Under 150 Publisher,T,2008.0,43.0,0.0
10975,GC,Shooter,Atari,E,2003.0,85.0,0.0
10976,XB,Action,Over 50 Under 150 Publisher,M,2005.0,76.0,0.0
10983,PS2,Strategy,Over 50 Under 150 Publisher,E10+,2006.0,76.0,0.0
10988,Wii,Action,Over 50 Under 150 Publisher,T,2008.0,39.0,0.0
10991,PSP,Role-Playing,Under 50 Games Publisher,T,2010.0,75.0,0.0
10994,3DS,Action,Over 50 Under 150 Publisher,T,2016.0,71.0,0.0
10996,DS,Platform,THQ,E,2007.0,53.0,0.0
11001,GC,Role-Playing,Namco Bandai Games,E,2005.0,55.0,0.0
11003,X360,Role-Playing,Under 50 Games Publisher,T,2006.0,59.0,0.0
11004,XB,Racing,Take-Two Interactive,E,2004.0,58.0,0.0
11005,XB,Sports,Over 50 Under 150 Publisher,T,2004.0,77.0,0.0
11007,GC,Action,Activision,E10+,2005.0,68.0,0.0
11010,XB,Racing,Namco Bandai Games,T,2003.0,67.0,0.0
11012,Wii,Platform,Over 50 Under 150 Publisher,E10+,2006.0,45.0,0.0
11013,PC,Role-Playing,Over 50 Under 150 Publisher,M,2014.0,65.0,0.0
11016,X360,Fighting,Over 50 Under 150 Publisher,T,2008.0,71.0,0.0
11018,XB,Misc,Konami Digital Entertainment,E,2004.0,80.0,0.0
11019,PS2,Sports,Over 50 Under 150 Publisher,T,2005.0,78.0,0.0
11020,PSP,Action,Under 50 Games Publisher,M,2009.0,66.0,0.0
11021,GC,Platform,THQ,E,2002.0,42.0,0.0
11022,DS,Puzzle,Electronic Arts,E,2009.0,82.0,0.0
11024,PS,Racing,Sony Computer Entertainment,E,2000.0,85.0,0.0
11025,PS2,Action,Over 50 Under 150 Publisher,T,2007.0,50.0,0.0
11030,Wii,Action,Activision,T,2011.0,62.0,0.0
11033,Wii,Action,Over 50 Under 150 Publisher,T,2008.0,28.0,0.0
11034,XB,Action,Atari,T,2004.0,72.0,0.0
11035,PSP,Sports,Take-Two Interactive,E,2007.0,61.0,0.0
11036,DS,Misc,Under 50 Games Publisher,E10+,2010.0,79.0,0.0
11037,GBA,Action,Over 50 Under 150 Publisher,E,2006.0,55.0,0.0
11040,XB,Adventure,Over 50 Under 150 Publisher,E10+,2005.0,65.0,0.0
11044,GBA,Racing,Under 50 Games Publisher,E,2003.0,78.0,0.0
11045,PC,Shooter,THQ,M,2011.0,75.0,0.0
11046,Wii,Misc,Over 50 Under 150 Publisher,E,2011.0,84.0,0.0
11048,XOne,Sports,Under 5 Games Publisher,E,2015.0,20.0,0.0
11051,GC,Shooter,Ubisoft,M,2003.0,73.0,0.0
11053,Wii,Misc,Under 50 Games Publisher,T,2010.0,56.0,0.0
11055,XB,Action,THQ,E10+,2005.0,63.0,0.0
11058,PS2,Role-Playing,Ubisoft,T,2001.0,70.0,0.0
11059,X360,Shooter,Over 50 Under 150 Publisher,M,2009.0,30.0,0.0
11061,X360,Shooter,Over 50 Under 150 Publisher,M,2007.0,66.0,0.0
11065,PS2,Shooter,Under 5 Games Publisher,M,2002.0,56.0,0.0
11066,DS,Racing,Under 50 Games Publisher,E,2007.0,51.0,0.0
11070,WiiU,Platform,Ubisoft,E,2013.0,42.0,0.0
11071,PS4,Action,Over 50 Under 150 Publisher,T,2014.0,74.0,0.0
11074,PC,Simulation,Electronic Arts,T,2008.0,75.0,0.0
11075,PS2,Action,Capcom,M,2005.0,70.0,0.0
11076,PC,Strategy,Over 50 Under 150 Publisher,T,2002.0,89.0,0.0
11079,PS2,Action,Sega,E,2004.0,54.0,0.0
11082,Wii,Sports,Sega,E10+,2009.0,45.0,0.0
11083,PS3,Action,THQ,E10+,2011.0,70.0,0.0
11084,GBA,Adventure,THQ,E,2006.0,69.0,0.0
11086,X360,Platform,Ubisoft,E,2009.0,62.0,0.0
11087,DS,Action,Sega,E,2006.0,60.0,0.0
11088,PS2,Strategy,Under 5 Games Publisher,T,2001.0,63.0,0.0
11096,XB,Sports,Electronic Arts,E,2007.0,82.0,0.0
11098,PS2,Role-Playing,Konami Digital Entertainment,T,2000.0,48.0,0.0
11099,DS,Misc,Under 5 Games Publisher,E,2008.0,38.0,0.0
11113,PC,Shooter,Over 50 Under 150 Publisher,M,2004.0,88.0,0.0
11114,PSP,Puzzle,Konami Digital Entertainment,E10+,2010.0,62.0,0.0
11116,PC,Adventure,Under 50 Games Publisher,T,2011.0,72.0,0.0
11117,DS,Puzzle,Over 50 Under 150 Publisher,E,2008.0,52.0,0.0
11118,X360,Shooter,Ubisoft,T,2007.0,43.0,0.0
11121,X360,Shooter,Under 5 Games Publisher,E10+,2008.0,73.0,0.0
11124,PS3,Racing,Activision,E,2012.0,76.0,0.0
11125,PC,Strategy,Over 50 Under 150 Publisher,T,2006.0,79.0,0.0
11127,PS4,Fighting,Under 50 Games Publisher,T,2016.0,85.0,0.0
11135,XB,Racing,Sega,T,2003.0,72.0,0.0
11139,DS,Role-Playing,Under 50 Games Publisher,T,2008.0,76.0,0.0
11141,DS,Fighting,Electronic Arts,E10+,2005.0,34.0,0.0
11142,XB,Adventure,Atari,T,2002.0,64.0,0.0
11148,PS2,Sports,Konami Digital Entertainment,E,2001.0,65.0,0.0
11151,3DS,Shooter,Under 50 Games Publisher,E10+,2011.0,75.0,0.0
11152,3DS,Action,Sega,T,2011.0,51.0,0.0
11153,GBA,Strategy,Capcom,T,2003.0,64.0,0.0
11154,GC,Puzzle,Under 50 Games Publisher,E,2002.0,70.0,0.0
11155,3DS,Puzzle,Under 50 Games Publisher,E,2011.0,61.0,0.0
11156,PS2,Racing,Over 50 Under 150 Publisher,E10+,2006.0,82.0,0.0
11157,Wii,Shooter,Under 50 Games Publisher,T,2009.0,31.0,0.0
11158,PS3,Sports,Under 50 Games Publisher,E10+,2010.0,48.0,0.0
11160,WiiU,Adventure,Under 5 Games Publisher,E10+,2014.0,47.0,0.0
11161,PS3,Shooter,Over 50 Under 150 Publisher,T,2007.0,56.0,0.0
11162,PS2,Platform,Ubisoft,E,2000.0,73.0,0.0
11163,GBA,Misc,Under 5 Games Publisher,E,2003.0,80.0,0.0
11165,PSP,Puzzle,Ubisoft,E,2005.0,77.0,0.0
11168,Wii,Adventure,Capcom,T,2008.0,60.0,0.0
11173,DS,Action,Under 50 Games Publisher,E10+,2009.0,60.0,0.0
11176,XB,Strategy,Electronic Arts,T,2003.0,64.0,0.0
11177,PC,Puzzle,Under 50 Games Publisher,E,2010.0,82.0,0.0
11178,PS2,Shooter,Over 50 Under 150 Publisher,T,2003.0,49.0,0.0
11180,XB,Sports,Electronic Arts,E,2006.0,63.0,0.0
11181,PSP,Puzzle,Over 50 Under 150 Publisher,E10+,2005.0,45.0,0.0
11183,GBA,Role-Playing,THQ,T,2004.0,77.0,0.0
11184,GBA,Role-Playing,THQ,E,2003.0,74.0,0.0
11187,PS4,Sports,Under 50 Games Publisher,E,2014.0,66.0,0.0
11188,GC,Action,Under 50 Games Publisher,E,2005.0,64.0,0.0
11190,GBA,Shooter,Under 50 Games Publisher,T,2004.0,79.0,0.0
11191,GC,Racing,Namco Bandai Games,E,2006.0,57.0,0.0
11192,GBA,Shooter,Konami Digital Entertainment,E,2001.0,78.0,0.0
11193,XB,Simulation,Ubisoft,T,2006.0,69.0,0.0
11194,PS4,Action,Namco Bandai Games,T,2015.0,70.0,0.0
11196,X360,Sports,Take-Two Interactive,E10+,2006.0,78.0,0.0
11197,PS2,Sports,Electronic Arts,E,2002.0,61.0,0.0
11201,X360,Simulation,Under 5 Games Publisher,T,2011.0,61.0,0.0
11202,DS,Simulation,Ubisoft,T,2008.0,48.0,0.0
11203,PS4,Platform,Under 5 Games Publisher,E,2015.0,90.0,0.0
11205,PS,Platform,Under 50 Games Publisher,E,2000.0,69.0,0.0
11208,PSV,Action,Sony Computer Entertainment,E10+,2013.0,69.0,0.0
11211,DS,Platform,Konami Digital Entertainment,E10+,2007.0,47.0,0.0
11213,PS2,Role-Playing,Under 50 Games Publisher,M,2005.0,82.0,0.0
11214,PC,Sports,Konami Digital Entertainment,E,2012.0,80.0,0.0
11221,PC,Shooter,Take-Two Interactive,T,2016.0,69.0,0.0
11223,Wii,Adventure,Under 5 Games Publisher,T,2008.0,46.0,0.0
11234,DS,Sports,Take-Two Interactive,T,2009.0,71.0,0.0
11236,PS2,Racing,Atari,E,2002.0,76.0,0.0
11239,GBA,Sports,Electronic Arts,E,2004.0,75.0,0.0
11241,PS3,Shooter,Over 50 Under 150 Publisher,M,2009.0,35.0,0.0
11243,PS4,Platform,Capcom,E,2016.0,77.0,0.0
11244,PS3,Action,Namco Bandai Games,M,2011.0,51.0,0.0
11246,GC,Sports,Electronic Arts,E10+,2005.0,78.0,0.0
11247,DS,Action,Over 50 Under 150 Publisher,E10+,2008.0,60.0,0.0
11249,GBA,Platform,Under 5 Games Publisher,E,2001.0,61.0,0.0
11250,DS,Simulation,Nintendo,E,2008.0,54.0,0.0
11251,PS2,Shooter,Under 50 Games Publisher,M,2006.0,44.0,0.0
11256,PS2,Action,Take-Two Interactive,M,2005.0,78.0,0.0
11257,PS2,Action,Sega,T,2004.0,52.0,0.0
11259,3DS,Action,Under 5 Games Publisher,E10+,2014.0,65.0,0.0
11260,PS3,Role-Playing,Over 50 Under 150 Publisher,M,2014.0,36.0,0.0
11264,X360,Action,Konami Digital Entertainment,E10+,2009.0,62.0,0.0
11265,Wii,Action,Under 5 Games Publisher,E,2007.0,20.0,0.0
11266,GC,Action,Ubisoft,T,2004.0,78.0,0.0
11268,PC,Shooter,Electronic Arts,T,2005.0,91.0,0.0
11270,GC,Sports,Over 50 Under 150 Publisher,E,2002.0,72.0,0.0
11273,PC,Shooter,Electronic Arts,M,2016.0,85.0,0.0
11274,X360,Fighting,Under 50 Games Publisher,T,2014.0,85.0,0.0
11275,X360,Fighting,Over 50 Under 150 Publisher,M,2011.0,49.0,0.0
11277,PS2,Fighting,Under 50 Games Publisher,T,2006.0,66.0,0.0
11278,PS2,Strategy,Over 50 Under 150 Publisher,T,2004.0,70.0,0.0
11279,GC,Sports,Electronic Arts,E,2002.0,86.0,0.0
11281,PS3,Sports,Activision,E,2010.0,61.0,0.0
11282,GC,Sports,Under 50 Games Publisher,T,2002.0,69.0,0.0
11284,PC,Sports,Take-Two Interactive,E,2011.0,74.0,0.0
11290,XB,Racing,Over 50 Under 150 Publisher,T,2003.0,54.0,0.0
11291,GC,Misc,Take-Two Interactive,T,2002.0,79.0,0.0
11292,Wii,Puzzle,Under 5 Games Publisher,E,2008.0,56.0,0.0
11293,WiiU,Action,Over 50 Under 150 Publisher,T,2012.0,64.0,0.0
11295,PSP,Sports,Sony Computer Entertainment,E,2009.0,69.0,0.0
11302,PS3,Platform,Namco Bandai Games,E10+,2013.0,51.0,0.0
11306,PS2,Misc,Under 5 Games Publisher,T,2003.0,79.0,0.0
11307,PS2,Role-Playing,Ubisoft,T,2001.0,43.0,0.0
11312,GC,Racing,Under 50 Games Publisher,T,2003.0,63.0,0.0
11315,PS3,Action,Over 50 Under 150 Publisher,E10+,2010.0,62.0,0.0
11316,DS,Role-Playing,Namco Bandai Games,T,2008.0,73.0,0.0
11317,PC,Shooter,Under 50 Games Publisher,M,2013.0,52.0,0.0
11318,X360,Fighting,Over 50 Under 150 Publisher,M,2009.0,46.0,0.0
11327,PS2,Action,Over 50 Under 150 Publisher,M,2004.0,58.0,0.0
11328,X360,Action,Over 50 Under 150 Publisher,E10+,2007.0,40.0,0.0
11329,DS,Puzzle,Over 50 Under 150 Publisher,E,2008.0,59.0,0.0
11331,GC,Action,Electronic Arts,E,2003.0,62.0,0.0
11332,XB,Sports,Under 50 Games Publisher,E,2003.0,83.0,0.0
11333,GC,Shooter,Electronic Arts,M,2005.0,82.0,0.0
11337,3DS,Puzzle,Ubisoft,E,2011.0,51.0,0.0
11338,PC,Strategy,THQ,M,2011.0,80.0,0.0
11344,PS2,Shooter,Konami Digital Entertainment,E,2000.0,64.0,0.0
11347,PS,Action,Under 50 Games Publisher,T,1999.0,80.0,0.0
11348,XB,Misc,Over 50 Under 150 Publisher,E,2005.0,68.0,0.0
11351,GBA,Fighting,Under 50 Games Publisher,T,2002.0,80.0,0.0
11358,Wii,Platform,Over 50 Under 150 Publisher,E10+,2006.0,66.0,0.0
11363,XB,Strategy,Under 50 Games Publisher,T,2003.0,70.0,0.0
11368,X360,Action,Namco Bandai Games,M,2011.0,49.0,0.0
11370,PS2,Shooter,Under 5 Games Publisher,T,2001.0,39.0,0.0
11372,X360,Action,Over 50 Under 150 Publisher,E10+,2007.0,65.0,0.0
11373,GC,Action,Atari,E,2003.0,66.0,0.0
11375,PSP,Simulation,Under 5 Games Publisher,T,2009.0,43.0,0.0
11376,X360,Platform,Namco Bandai Games,E10+,2013.0,49.0,0.0
11380,GC,Action,Under 50 Games Publisher,T,2003.0,29.0,0.0
11381,3DS,Adventure,Namco Bandai Games,E10+,2014.0,60.0,0.0
11382,PSP,Puzzle,Sega,E10+,2007.0,83.0,0.0
11385,PC,Action,Under 50 Games Publisher,T,2011.0,57.0,0.0
11389,XB,Shooter,Over 50 Under 150 Publisher,T,2003.0,63.0,0.0
11390,XB,Action,Over 50 Under 150 Publisher,T,2002.0,71.0,0.0
11391,X360,Action,Under 50 Games Publisher,T,2006.0,69.0,0.0
11392,GC,Action,Over 50 Under 150 Publisher,T,2006.0,78.0,0.0
11393,GBA,Sports,THQ,E,2001.0,76.0,0.0
11394,XB,Action,Over 50 Under 150 Publisher,M,2003.0,68.0,0.0
11396,PC,Role-Playing,Under 50 Games Publisher,M,2012.0,58.0,0.0
11397,PSP,Action,Electronic Arts,T,2006.0,61.0,0.0
11399,PSP,Puzzle,Under 5 Games Publisher,E,2007.0,51.0,0.0
11401,PSV,Role-Playing,Over 50 Under 150 Publisher,T,2014.0,72.0,0.0
11402,XB,Action,Over 50 Under 150 Publisher,E,2004.0,72.0,0.0
11403,PS4,Shooter,Capcom,M,2016.0,60.0,0.0
11405,PC,Action,Ubisoft,M,2015.0,74.0,0.0
11406,GC,Platform,Atari,E,2002.0,61.0,0.0
11409,PC,Action,Over 50 Under 150 Publisher,T,2008.0,80.0,0.0
11412,XB,Action,THQ,M,2005.0,66.0,0.0
11413,GC,Role-Playing,Ubisoft,E,2002.0,63.0,0.0
11414,Wii,Shooter,Ubisoft,M,2006.0,38.0,0.0
11416,DS,Adventure,Under 50 Games Publisher,E,2008.0,51.0,0.0
11417,Wii,Strategy,THQ,E10+,2008.0,64.0,0.0
11421,PS3,Sports,Take-Two Interactive,E,2009.0,49.0,0.0
11422,PS2,Simulation,Under 50 Games Publisher,T,2002.0,71.0,0.0
11424,PC,Simulation,Under 5 Games Publisher,T,2013.0,33.0,0.0
11429,PS4,Action,Under 5 Games Publisher,E,2016.0,69.0,0.0
11433,X360,Misc,Activision,T,2007.0,74.0,0.0
11437,PSP,Platform,Sega,E,2006.0,56.0,0.0
11438,DS,Racing,Under 50 Games Publisher,E,2005.0,33.0,0.0
11440,PS2,Sports,Under 50 Games Publisher,M,2005.0,67.0,0.0
11444,DS,Strategy,THQ,E10+,2006.0,64.0,0.0
11446,PS2,Racing,Under 50 Games Publisher,E,2000.0,67.0,0.0
11447,GC,Role-Playing,Sega,T,2003.0,71.0,0.0
11448,XOne,Action,Ubisoft,M,2016.0,74.0,0.0
11454,PSP,Platform,Capcom,E10+,2006.0,72.0,0.0
11455,X360,Action,Over 50 Under 150 Publisher,T,2006.0,52.0,0.0
11456,DS,Racing,Under 50 Games Publisher,E,2008.0,75.0,0.0
11459,GC,Fighting,Ubisoft,T,2002.0,67.0,0.0
11462,PC,Simulation,Ubisoft,T,2005.0,90.0,0.0
11463,PSP,Role-Playing,Sega,T,2007.0,51.0,0.0
11467,PS2,Shooter,Under 50 Games Publisher,T,2002.0,57.0,0.0
11468,XB,Racing,Ubisoft,E,2004.0,49.0,0.0
11470,Wii,Sports,Under 50 Games Publisher,T,2009.0,28.0,0.0
