Name,Platform,Year_of_Release,Genre,Publisher,TOTAL_SALES_2019,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Developer,Rating
Firewall: Zero Hour,PS4,2018,Shooter,Sony Interactive Entertainment,0.37,0.14,0.16,0.02,0.06,,,First Contact Entertainment Inc.,T
Go Vacation,NS,2018,Misc,Nintendo,0.37,0.12,0.22,0.01,0.03,,,Bandai Namco Studios,E
Burnout Paradise Remastered,PS4,2018,Racing,Electronic Arts,0.37,0.08,0.22,0.01,0.06,8,,Stellar Entertainment,E10
Dynasty Warriors 9,PS4,2018,Action,Tecmo Koei,0.37,0.1,0.06,0.17,0.03,,,Omega Force,T
Yakuza: Kiwami 2,PS4,2018,Action,Sega,0.37,0.08,0.06,0.19,0.03,,,Sega,
Vampyr,PS4,2018,Role-Playing,Focus Home Interactive,0.37,0.12,0.19,,0.06,,8.5,DONTNOD Entertainment,M
Destiny 2: Forsaken,PS4,2018,Shooter,Activision,0.36,0.19,0.11,,0.06,,,Bungie,
Taiko no Tatsujin: Drum 'n' Fun!,NS,2018,Music,Bandai Namco Games,0.36,,0.08,0.27,0.01,7.5,,Bandai Namco Games,
Fist of The North Star: Lost Paradise,PS4,2018,Action,Sega,0.36,0.09,0.05,0.18,0.03,,,Sega,M
No Time To Explain Remastered,PC,2018,Action-Adventure,Unknown,0.36,,,,,,,TinyBuild Games,
Nintendo Labo: Toy-Con 02 Robot Kit,NS,2018,Action,Nintendo,0.36,0.18,0.08,0.08,0.03,7,,Nintendo EPD,E10
Mega Man 11,NS,2018,Platform,Capcom,0.36,0.29,,0.03,0.03,8,,Capcom,E10
Hello Neighbor,PS4,2018,Action,Gearbox Software,0.35,0.13,0.16,,0.06,,,Dynamic Pixels,E10
Sega Genesis Classics,PS4,2018,Misc,Sega,0.35,0.08,0.21,,0.05,,,Sega,T
Dark Souls: Remastered,PC,2018,Role-Playing,Bandai Namco Entertainment,0.35,,,,,,,From Software,M
LEGO Harry Potter Collection,NS,2018,Action,Warner Bros. Interactive Entertainment,0.33,0.15,0.16,,0.03,,,Traveller's Tales,E10
Dead Realm,PC,2018,Action-Adventure,Unknown,0.33,,,,,,,"Section Studios, Inc.",
The Crew 2,XOne,2018,Racing,Ubisoft,0.33,0.2,0.1,,0.03,,,Ivory Tower,T
PlayerUnknown's Battlegrounds,PS4,2018,Shooter,Sony Interactive Entertainment,0.33,0.13,0.15,,0.05,,,PUBG Corporation,T
Kirby: Battle Royale,3DS,2018,Fighting,Nintendo,0.33,0.07,0.05,0.2,0.01,6,,HAL Laboratory,E10
Dark Souls: Remastered,NS,2018,Role-Playing,Bandai Namco Entertainment,0.33,0.16,0.11,0.03,0.03,8.8,,From Software,M
LEGO The Incredibles,XOne,2018,Action,Warner Bros. Interactive Entertainment,0.32,0.19,0.1,,0.03,,,Traveller's Tales,E10
Farming Simulator 19,XOne,2018,Simulation,Focus Home Interactive,0.32,0.19,0.09,,0.03,,,Giants Software,E
NBA 2K19,NS,2018,Sports,2K Sports,0.3,0.24,0.02,0.01,0.03,,,Visual Concepts,
My Hero One's Justice,PS4,2018,Fighting,Bandai Namco Entertainment,0.3,0.16,0.05,0.04,0.05,,,Byking,T
SoulCalibur VI,XOne,2018,Fighting,Bandai Namco Games,0.3,0.26,0.01,,0.03,,,Project Soul,T
LEGO DC Super-Villains,XOne,2018,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.2,0.07,,0.03,,,Traveller's Tales,
Pit People,PC,2018,Strategy,The Behemoth,0.3,,,,,,,The Behemoth,
Dark and Light,PC,2018,Role-Playing,Unknown,0.3,,,,,,,Snail Games USA,
Sword Art Online: Fatal Bullet,PS4,2018,Role-Playing,Namco Bandai Games,0.29,0.11,0.03,0.13,0.03,,,Dimps Corporation,T
Naruto to Boruto: Shinobi Striker,PS4,2018,Action,Bandai Namco Games,0.29,0.19,0.03,0.02,0.05,8.5,,Soleil Software Studio Inc.,T
Yooka-Laylee,PS4,2018,Platform,Team17 Software,0.29,0.09,0.16,,0.05,,,Playtonic Games,E10
Talon Man Remastered,Amig,2018,Puzzle,Out of crumpet's:,0.29,,,,,,9,OutOfTime|OutOfCrumpets,
NHL 19,XOne,2018,Sports,EA Sports,0.29,0.26,,,0.03,,,EA Canada,
Overcooked! 2,NS,2018,Simulation,Sold Out,0.29,0.17,0.09,0.01,0.03,8.4,,Ghost Town Games,
Just Cause 4,XOne,2018,Action-Adventure,Square Enix,0.29,0.17,0.09,,0.03,,,Avalanche Studios,M
For The King,PC,2018,Role-Playing,Unknown,0.29,,,,,,,IronOak Games,
Tales of Berseria,PC,2018,Role-Playing,Namco Bandai Games,0.28,,,,,,,Namco Bandai Games,T
WarioWare Gold,3DS,2018,Misc,Nintendo,0.28,0.11,0.03,0.13,0.01,8.1,,Intelligent Systems,E10
Secret of Mana,PS4,2018,Role-Playing,Square Enix,0.28,0.06,0.12,0.05,0.04,,,Square,E10
Bravo Team,PS4,2018,Shooter,Sony Interactive Entertainment,0.27,0.12,0.09,0.02,0.04,,,Supermassive Games Ltd.,T
Shenmue I & II,PS4,2018,Action-Adventure,Sega,0.27,0.09,0.1,0.05,0.04,,,Sega,T
Carnival Games,NS,2018,Party,2K Games,0.27,0.11,0.14,,0.02,,,Cat Daddy Games,E10
The World Ends with You: Final Remix,NS,2018,Role-Playing,Nintendo,0.27,0.14,0.08,0.03,0.02,7.4,,Square Enix,T
Sword Art Online: Hollow Realization,PSV,2018,Role-Playing,Namco Bandai Games,0.26,,0.08,0.16,0.02,,,Aquria,T
